"media","q50.50%","q75.75%","q90.90%","desvio_Media","desvio_q50","desvio_q75","desvio_q90"
0.0124906661811514,0,0.0292579575416605,0.0389094727803051,0.0193396689024393,0.0230819555220813,0.0256923562496458,0.0329275102437964
0.0256169318132695,0.015127119738492,0.0450008156957016,0.0603050833205734,0.028880749437721,0.0307581583380685,0.0348772774705356,0.045370425449255
0.0361833396342881,0.0246688176280485,0.0703474684759304,0.0957341847363712,0.0389152670175802,0.0406116764364271,0.0519813686212883,0.0715745555641132
0.0297984944811071,0.00596129771942551,0.0517051307418957,0.0851330411503499,0.0385898661740278,0.0454682125388352,0.0444690655887137,0.0678587325388004
0.0256425547371077,0.0121999950824075,0.0497446961310225,0.0649851564045773,0.0289437214258201,0.0319626600546041,0.0378000488061026,0.0491195929240845
0.0302960723493016,0.0152870124759382,0.0554002153435334,0.0716165281625208,0.0352283053335249,0.0383439371109664,0.0433855730422898,0.0545744225949822
0.0417492657231753,0.0275754905358256,0.0743815062774225,0.0979016604332538,0.0445762493787608,0.0468130580208813,0.0554128770364211,0.0720794758158805
0.0511490817829037,0.0267401735628218,0.0832518975881851,0.153719308921912,0.0591213249914074,0.064043566496531,0.0674092159234443,0.11916608325081
0.0185128770844116,0,0.0135317607398034,0.0828285620052317,0.0374675386836066,0.0418635380806889,0.0378029531236822,0.0749192504355276
0.020969181572986,0.00112282293045819,0.0328319978646672,0.0711735472785576,0.0305942777724719,0.0365622472406263,0.0328512576194854,0.0591667735007716
0.0523650855178384,0.0383192777945057,0.0839378936822942,0.131399819813005,0.0518649566353375,0.053765412457547,0.0608629969858048,0.0951107274820145
0.0884517195629454,0.0784942990018686,0.122878618935021,0.182621686984776,0.0639950384431794,0.064778504514941,0.0728105042434245,0.114537881744684
0.102629855704248,0.0932666325212444,0.154738562622078,0.20426035152208,0.0707952149399442,0.0714224787867053,0.0881754894587955,0.124587023456146
0.0817043000519638,0.0637519632336739,0.122469514756196,0.171963796068797,0.0662490002856659,0.0686794771631776,0.0779736314569861,0.1125994341269
0.0619633765013398,0.0451054686859304,0.111673578455435,0.151597587592446,0.064320086574731,0.0665300561085325,0.0815569152198672,0.110960884200644
0.03185473450515,0.00201481241104826,0.0572259424394252,0.098408709300064,0.0431700087666718,0.0526278636055297,0.0501860618070035,0.0798172321215675
0.021229643843873,0,0.0342535439219333,0.0803708086812945,0.0326075516983239,0.0390109879912489,0.0351546614987849,0.0679874441872116
0.00546123414979303,0,0,0.0221449816734562,0.0144656939988453,0.0154791675582782,0.0154791675582782,0.0221920486339664
0,0,0,0,0,0,0,0
0.00284635462535588,0,0,0.0021199271820515,0.0115765011330418,0.0119272481667934,0.0119272481667934,0.0115996695277423
0.00658540404298241,0,0,0.0294868456894775,0.0148726220149022,0.0162887466109278,0.0162887466109278,0.0274749385611075
0.0221905453800015,0.0101333837717302,0.0369111112958653,0.0655743343018803,0.0307151825679265,0.0330355570164598,0.03411625959567,0.053465837802721
0.00994969497224006,0,0.00225828397967068,0.0416753311484398,0.0217352862978948,0.0239406741752706,0.0230785252930521,0.0386858738625996
0.0183097694998438,0,0.0208881146137743,0.071348474577255,0.0323988142731322,0.0372935968139563,0.0325030407656902,0.0625471031183165
