"eol7_ver"
28.0885
26.7722
22.6847
28.806
34.1036
30.9252
19.7033
12.9925
7.7915
11.629
18.2336
14.2133
9.9906
17.713
26.665
18.6598
9.145
1.0302
0.9576
3.43
3.3816
4.0378
1.2306
0.0424
