"UPstat.media","UPstat.q50.50.","UPstat.q75.75.","UPstat.q90.90.","UPstat.desvio_Media","UPstat.desvio_q50","UPstat.desvio_q75","UPstat.desvio_q90","DNstat.media","DNstat.q50.50.","DNstat.q75.75.","DNstat.q90.90.","DNstat.desvio_Media","DNstat.desvio_q50","DNstat.desvio_q75","DNstat.desvio_q90"
-0.0433241579440235,0,0,0,0.0784650711752704,0.0898146957712221,0.0898146957712221,0.0898146957712221,0.13164030494777,0.00050031993854325,0.149982545054657,0.293955524876938,0.35567110394198,0.379475089836762,0.356152038276493,0.391548693488119
-0.115058650681028,-0.00353429634148054,0,0,0.172971107750748,0.206336837883871,0.208302067867583,0.208302067867583,0.060818812389497,0,0.0708162041675696,0.186095802514002,0.116248877937313,0.131444372396817,0.116685487250846,0.171707498084246
-0.117804592851134,0,0,0,0.196541365244322,0.22967346966163,0.22967346966163,0.22967346966163,16.8739499633076,0,0.0783677271380388,0.569920788829667,127.481180557327,128.612506585087,128.602068234053,128.537684343433
-0.108476992555602,-0.000438103599648885,0,0,0.207194259575275,0.234108183756865,0.234314238227537,0.234314238227537,0.12915368959601,0,0.0662181770479074,0.364902447949822,0.354269435797078,0.377465431671171,0.359912768570898,0.426684138049015
-0.0683021504033097,0,0,0,0.115390114451244,0.134394596586805,0.134394596586805,0.134394596586805,0.313152128960094,0,0.1889957083563,0.399321070989342,1.09973214126537,1.14420079703957,1.10684056425997,1.1031618801333
-0.0814139241860148,-0.00536378552181394,0,0,0.122812917742624,0.144803672038529,0.147741410921022,0.147741410921022,0.122735451739634,0,0.0839940892196397,0.255505568771181,0.345193584060745,0.36672453168051,0.347398668831257,0.370264467545221
-0.110373300298003,-0.0227376748797217,0,0,0.163801189663296,0.18613320356545,0.198057615628629,0.198057615628629,0.0470838545638633,0,0.0354174553934393,0.149193602548236,0.102149074622387,0.112650857087733,0.102824734964616,0.145064652445041
-0.115821677045898,-0.0438550043078769,0,0,0.16659492521693,0.181724886258693,0.203479421341245,0.203479421341245,0.148643559299275,0,0.0512896487692802,0.550553484838948,0.351366803880385,0.38202247126353,0.364832415877546,0.536492410598261
-0.099511983940129,-0.0141911347773795,0,0,0.135442622393779,0.160474497579258,0.168585495658088,0.168585495658088,0.103738206344973,0,0.0311336306454979,0.282000042574087,0.283980454858442,0.302647178193407,0.293272576768017,0.336124496544523
-0.17970872349265,-0.067932747848108,0,0,0.21009097683459,0.238435060253516,0.277488786704362,0.277488786704362,0.0572241637501183,0,0.00818860147832413,0.155786165295367,0.197455991970086,0.205720497011988,0.203557213341993,0.221074119198203
-0.136804749199244,0,0,0,0.203514487126339,0.245890277705966,0.245890277705966,0.245890277705966,0.153724245803191,0,0.0919516542129075,0.340161928759598,0.426192642932308,0.453526067725599,0.43072377082318,0.465842232630537
-0.0808263678809906,0,0,0,0.157798584741974,0.177617306033832,0.177617306033832,0.177617306033832,0.196962098735762,0,0.123137684489197,0.862803708865891,0.421621318638303,0.466089264367723,0.428147399009504,0.793024318315945
-0.0790046865204356,0,0,0,0.169664246773848,0.187449196703242,0.187449196703242,0.187449196703242,0.280169268549432,0.0270017876584601,0.370370978485124,0.719701444356006,0.627126893744417,0.67713098171829,0.633693326687721,0.768027308723812
-0.0747138604699115,0,0,0,0.147456040442398,0.165600052709679,0.165600052709679,0.165600052709679,0.233927527685424,0,0.268009782714154,0.609005396646516,0.499073500865955,0.552047537908521,0.500256272648034,0.626279408101627
-0.0581450804713458,0,0,0,0.129970517752149,0.142592072123226,0.142592072123226,0.142592072123226,1.33510095588245,0.00405028472095714,0.188896527512854,0.66052264952986,8.13866055661556,8.24867104017552,8.22037889028896,8.16705791481257
-0.0837297684676574,0,0,0,0.14630129421196,0.168931160827963,0.168931160827963,0.168931160827963,0.274610750526608,0,0.0967476169738328,0.485265054588441,1.02696549170581,1.06366920919405,1.04252022550861,1.04871915682105
-0.146302400162807,-0.0548457675337393,0,0,0.202812898491918,0.222809626871009,0.250824599555867,0.250824599555867,0.310426006524175,0,0.0176202928536835,0.326611914144688,1.21064478879127,1.25048619024975,1.24615413037673,1.21075488206183
-0.125500682366367,0,0,0,0.225861292125874,0.258920968126272,0.258920968126272,0.258920968126272,0.630073582523965,0,0.307162473484165,0.690742865445915,2.97717021532527,3.04425688715083,2.99493629337959,2.9777991583853
-0.0817773485233527,0,0,0,0.157814395964483,0.178073702370318,0.178073702370318,0.178073702370318,0.402208116558183,0.0093558007975279,0.244861474662526,1.00260113079959,0.881016816930733,0.966038906663147,0.895199948450801,1.06910545290546
-0.049809318100172,0,0,0,0.105641989125035,0.116981724184847,0.116981724184847,0.116981724184847,0.232569880658049,0.00784128334877579,0.195094786483889,0.600565905717946,0.511149832383071,0.559162865476616,0.51254577563501,0.631720692971968
-0.0617859191471988,0,0,0,0.110554245079066,0.126912231840172,0.126912231840172,0.126912231840172,0.170580137564474,0,0.216810977563194,0.369870529739873,0.404216038026845,0.439316142029554,0.406897274862887,0.451446618469525
-0.057401703278938,0,0,0,0.113466277569546,0.12738664734714,0.12738664734714,0.12738664734714,0.140000783347589,0.00585802335640137,0.170735363777303,0.447338385652551,0.253792130413704,0.287611569033315,0.255678767356957,0.400654436024941
-0.0676982633106085,0,0,0,0.125664462764749,0.143021035265343,0.143021035265343,0.143021035265343,0.104753048168248,0.00517338111172051,0.150755436160538,0.300236757713711,0.199334153443171,0.223213309781693,0.204664239893831,0.280389736592067
-0.0455422767164559,0,0,0,0.0784810030822226,0.0909381906269976,0.0909381906269976,0.0909381906269976,0.145614033159908,0,0.155654386505778,0.475801401115666,0.276457797901311,0.313056466097886,0.2766432563598,0.432857145526546
