& ,  ind,      nome       ,ss   ,Vinic  ,Eva,p ,di, hi m     VmorInic                Pdconst                                    
UH,1,  CAMARGOS       ,10,63.81,   ,1,I ,       
UH,14, CACONDE        1                                            ,10,77,,1,,
UH,15, E. CUNHA       4                                            ,10,87,,1,,
