 CodUsina  ,  Usina         ,  Sistema      ,  Empresa           ,  Posto  ,  Posto BDH  ,N_Jusante,  Jusante  ,N_Dsv,  Desvio  ,  Vol.Máx.(hm3)  ,  Vol.min.(hm3)  ,  Cota Máx.(m)  ,  Cota min.(m)  ,  Vol.Vert.(hm3)  ,  Vol.Desv.(hm3)  ,  PCV(0)  ,  PCV(1)  ,  PCV(2)  ,  PCV(3)  ,  PCV(4)  ,  PAC(0)  ,  PAC(1)  ,  PAC(2)  ,  PAC(3)  ,  PAC(4)  ,  Evap.Men.(1)  ,  Evap.Men.(2)  ,  Evap.Men.(3)  ,  Evap.Men.(4)  ,  Evap.Men.(5)  ,  Evap.Men.(6)  ,  Evap.Men.(7)  ,  Evap.Men.(8)  ,  Evap.Men.(9)  ,  Evap.Men.(10)  ,  Evap.Men.(11)  ,  Evap.Men.(12)  ,  Prod.Esp.(MW/m3/s/m)  ,  Canal Fuga Médio(m)  ,  TEIF(%)  ,  IP(%)  ,  Tipo Turbina  ,  Num.Conj.Máq.  ,  Num.Pols.Jus.  ,  Fat.Carga Máx.(%)  ,  Fat.Carga mín.(%)  ,  Tipo Perdas(1=%/2=M/3=K)  ,  Valor Perdas  ,  Vazão Mín.Hist.(m3/s)  ,  Num.Unid.Base  ,  Infl.Vert.Canal de Fuga  ,  Rep.Conj(0=aprox/1=det/2=simp)  ,  #Maq(1)  ,  PotEf(1)  ,  QEf(1)  ,  HEf(1)  ,  #Maq(2)  ,  PotEf(2)  ,  QEf(2)  ,  HEf(2)  ,  #Maq(3)  ,  PotEf(3)  ,  QEf(3)  ,  HEf(3)  ,  #Maq(4)  ,  PotEf(4)  ,  QEf(4)  ,  HEf(4)  ,  #Maq(5)  ,  PotEf(5)  ,  QEf(5)  ,  HEf(5)  ,  QHTA0(1)  ,  QHTA1(1)  ,  QHTA2(1)  ,  QHTA3(1)  ,  QHTA4(1)  ,  QHTA0(2)  ,  QHTA1(2)  ,  QHTA2(2)  ,  QHTA3(2)  ,  QHTA4(2)  ,  QHTA0(3)  ,  QHTA1(3)  ,  QHTA2(3)  ,  QHTA3(3)  ,  QHTA4(3)  ,  QHTA0(4)  ,  QHTA1(4)  ,  QHTA2(4)  ,  QHTA3(4)  ,  QHTA4(4)  ,  QHTA0(5)  ,  QHTA1(5)  ,  QHTA2(5)  ,  QHTA3(5)  ,  QHTA4(5)  ,  QHGA0(1)  ,  QHGA1(1)  ,  QHGA2(1)  ,  QHGA3(1)  ,  QHGA4(1)  ,  QHGA0(2)  ,  QHGA1(2)  ,  QHGA2(2)  ,  QHGA3(2)  ,  QHGA4(2)  ,  QHGA0(3)  ,  QHGA1(3)  ,  QHGA2(3)  ,  QHGA3(3)  ,  QHGA4(3)  ,  QHGA0(4)  ,  QHGA1(4)  ,  QHGA2(4)  ,  QHGA3(4)  ,  QHGA4(4)  ,  QHGA0(5)  ,  QHGA1(5)  ,  QHGA2(5)  ,  QHGA3(5)  ,  QHGA4(5)  ,  PHA0(1)  ,  PHA1(1)  ,  PHA2(1)  ,  PHA3(1)  ,  PHA4(1)  ,  PHA0(2)  ,  PHA1(2)  ,  PHA2(2)  ,  PHA3(2)  ,  PHA4(2)  ,  PHA0(3)  ,  PHA1(3)  ,  PHA2(3)  ,  PHA3(3)  ,  PHA4(3)  ,  PHA0(4)  ,  PHA1(4)  ,  PHA2(4)  ,  PHA3(4)  ,  PHA4(4)  ,  PHA0(5)  ,  PHA1(5)  ,  PHA2(5)  ,  PHA3(5)  ,  PHA4(4)  ,  PJA0(1)  ,  PJA1(1)  ,  PJA2(1)  ,  PJA3(1)  ,  PJA4(1)  ,  PJRM(1)  ,  PJA0(2)  ,  PJA1(2)  ,  PJA2(2)  ,  PJA3(2)  ,  PJA4(2)  ,  PJRM(2)  ,  PJA0(3)  ,  PJA1(3)  ,  PJA2(3)  ,  PJA3(3)  ,  PJA4(3)  ,  PJRM(3)  ,  PJA0(4)  ,  PJA1(4)  ,  PJA2(4)  ,  PJA3(4)  ,  PJA4(4)  ,  PJRM(4)  ,  PJA0(5)  ,  PJA1(5)  ,  PJA2(5)  ,  PJA3(5)  ,  PJA4(5)  ,  PJRM(5)  ,  Data  ,  Obs  ,  Vol.Ref.  ,  Reg  ,   
40,  PROMISSAO     ,  1 - Sudeste  ,  56 -              ,240,0,42,  42 - NAVANHANDAVA  ,0,  0 - NÃO HÁ  ,7408,5280,384,379.7,5280,5280,3.70E+08,-5.25E+02,1.08E+00,-1.60E-04,7.93E-09,-3.39E+10,1.64E+08,-1.93E+05,0.00E+00,0.00E+00,16,18,37,62,77,72,59,55,53,22,4,30,0.008829,358.7,0.17,6.964,  2 - Kaplan/Propeller  ,1,1,100,0,1,2.12,149,2,  Yes  ,2,3,123.2,431,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.58E+08,-2.41E+02,5.60E-01,-1.23E-04,8.03E-09,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,  28/09/17  ,                                               ,7408,  M  ,   
42,  NAVANHANDAVA  ,  1 - Sudeste  ,  56 -              ,242,0,43,  43 - TRES IRMAOS   ,0,  0 - NÃO HÁ  ,2720,2720,358,358,2720,2720,3.58E+08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.12E+08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,16,20,37,60,77,73,60,56,53,21,4,28,0.008829,328,0.39,6.741,  2 - Kaplan/Propeller  ,1,1,100,0,1,1.79,153,2,  Yes  ,2,3,162.12,477,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.23E+08,4.31E+03,-2.13E+00,5.68E-04,-5.38E-08,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,  28/09/17  ,                                               ,2720,  D  ,   
43,  TRES IRMAOS   ,  1 - Sudeste  ,  16 - CESP         ,243,0,45,  44 - I. SOLT. EQV  ,34,  34 - I. SOLTEIRA   ,13372,9923,328,323,9923,9923,2.93E+08,5.50E+03,-3.93E-01,1.73E-05,-3.10E-10,-1.19E+10,2.30E+07,9.94E+04,-5.48E+01,-3.12E-01,16,25,40,60,80,75,64,62,57,17,6,27,0.008829,280,0.704,6.641,  1 - Francis  ,1,1,100,0,1,2.33,165,1,  Yes  ,2,5,226.1,436,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.80E+08,-2.20E+02,7.11E-01,-1.71E-04,1.30E-08,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,  28/09/17  ,                                               ,13372,  M  ,   
44,  I. SOLT. EQV  ,  1 - Sudeste  ,  282 -             ,244,0,45,  45 - JUPIA         ,0,  0 - NÃO HÁ  ,34432,25467,328,323,25467,25467,2.94E+08,2.06E+03,-5.66E-02,9.70E-07,-6.70E-12,-5.24E+10,1.16E+08,4.35E+05,-2.90E+02,-1.74E+00,16,25,39,58,79,74,65,63,58,18,5,26,0.008829,281.1,1.79,6.887,  1 - Francis  ,4,1,100,0,1,2.35,1468,11,  Yes  ,2,4,246.4,480,41.5,11,238,464,41.5,5,243.6,475,41.5,5,226.1,441,41.5,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.80E+08,9.57E+01,1.21E-02,-5.83E-07,7.60E-12,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,  28/09/17  ,                                               ,34432,  M  ,   
45,  JUPIA         ,  1 - Sudeste  ,  281 -             ,245,0,46,  46 - P. PRIMAVERA  ,0,  0 - NÃO HÁ  ,3354,3354,280,280,3354,3354,2.80E+08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.27E+08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,18,27,42,58,79,71,60,60,58,14,8,28,0.008731,257.93,2.455,4.963,  2 - Kaplan/Propeller  ,1,1,100,0,1,1.39,1649,9,  Yes  ,2,14,155.12,596,21.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.53E+08,5.79E+02,1.44E-02,-1.42E-06,2.61E-11,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,  28/09/17  ,                                               ,3354,  D  ,   
46,  P. PRIMAVERA  ,  1 - Sudeste  ,  16 - CESP         ,246,0,66,  66 - ITAIPU        ,0,  0 - NÃO HÁ  ,14400,14400,257,257,14400,14400,2.39E+08,2.50E+03,-1.26E-01,3.05E-06,-2.57E-11,-4.86E+10,2.79E+08,-3.23E+05,0.00E+00,0.00E+00,9,18,27,37,68,63,43,37,38,-14,-13,10,0.009133,238.05,0.415,5.787,  2 - Kaplan/Propeller  ,1,1,100,0,2,0.36,1881,11,  No  ,2,14,154,636,18.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.34E+08,7.08E+02,-2.52E-02,4.65E-07,-3.26E-12,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,  28/09/17  ,                                               ,14400,  D  ,   
47,  A.A. LAYDNER  ,  1 - Sudeste  ,  55 -              ,47,0,48,  48 - PIRAJU        ,0,  0 - NÃO HÁ  ,7008,3843,568,559.7,3939.85,3843,5.43E+08,6.37E+03,-6.75E-01,5.39E-05,-1.90E-09,-4.20E+12,2.25E+10,-4.01E+07,2.39E+04,0.00E+00,25,24,42,64,76,67,51,41,31,9,-2,34,0.008947,532.29,0.256,1.711,  2 - Kaplan/Propeller  ,1,1,100,0,2,0.4,55,1,  Yes  ,2,2,70.7,182,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.31E+08,4.05E+03,-1.40E+00,2.71E-04,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,  28/09/17  ,                                               ,7008,  M  ,   
48,  PIRAJU        ,  1 - Sudeste  ,  65 -              ,48,0,49,  49 - CHAVANTES     ,0,  0 - NÃO HÁ  ,84,84,531.5,531.5,84,84,5.32E+08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.28E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,30,23,44,64,73,61,46,40,38,16,4,39,0.008829,505,0.731,4.152,  2 - Kaplan/Propeller  ,1,1,100,0,2,0.5,56,2,  Yes  ,2,2,56,181,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.04E+08,6.42E+03,-5.36E+00,2.69E-03,-5.06E-07,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,  28/09/17  ,                                               ,84,  D  ,   
49,  CHAVANTES     ,  1 - Sudeste  ,  55 -              ,49,0,249,  249 - OURINHOS      ,0,  0 - NÃO HÁ  ,8795,5754,474,465.23,5754,5754,4.37E+08,6.63E+03,-3.75E-01,1.06E-05,0.00E+00,1.27E+10,-6.47E+07,8.17E+04,0.00E+00,0.00E+00,27,19,45,70,81,71,56,43,43,13,-6,18,0.009084,398.66,0.386,1.814,  1 - Francis  ,2,1,100,0,2,0.91,73,2,  Yes  ,2,1,144.9,155,73.6,3,144.9,157,72.6,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.97E+08,4.40E+03,-1.25E+00,1.79E-04,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,  28/09/17  ,                                               ,8795,  M  ,   
50,  L.N. GARCEZ   ,  1 - Sudeste  ,  55 -              ,50,0,51,  51 - CANOAS II     ,0,  0 - NÃO HÁ  ,45,45,384.67,384.67,45,45,3.85E+08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.16E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,28,22,40,54,59,49,40,43,51,25,18,39,0.008338,366.6,1.527,4.405,  2 - Kaplan/Propeller  ,1,1,100,0,1,0.65,96,3,  Yes  ,2,4,25.9,145,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.66E+08,2.05E+03,-9.79E-02,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,  28/09/17  ,                                               ,45,  D  ,   
51,  CANOAS II     ,  1 - Sudeste  ,  55 -              ,51,0,52,  52 - CANOAS I      ,0,  0 - NÃO HÁ  ,151,151,366,366,151,151,3.66E+08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.35E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,26,22,41,58,68,56,44,41,46,15,7,32,0.008829,351.1,0.096,3.896,  2 - Kaplan/Propeller  ,1,1,100,0,2,0.3,96,2,  Yes  ,2,3,33.6,187,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.51E+08,1.38E+03,-8.06E-02,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,  28/09/17  ,                                               ,151,  D  ,   
