&us,     nome     ,Gp,  ug,   st,   GerInic   ,  tempo st,Tx Var,Ger min,Ofe Res,Barra,,
1,  CAMARGOS,1,1,1,18.2,1,11,4.6,20,6,26,18.2
1,  CAMARGOS,1,2,1,18.2,1,11,4.6,20,6,26,18.2
14, CACONDE        1                                            ,1,1,1,16.48,1,10,16.48,177,12,41.2,28.84
14, CACONDE        1                                            ,2,1,1,27.44,1,10,15.68,408,12,39.2,27.44
15, E. CUNHA       4                                            ,1,1,1,10.88,96,10,10.88,10,7,27.2,19.04
15, E. CUNHA       4                                            ,1,2,1,10.88,96,10,10.88,10,7,27.2,19.04
15, E. CUNHA       4                                            ,1,3,0,0,96,10,10.88,10,7,27.2,19.04
15, E. CUNHA       4                                            ,1,4,0,0,96,10,10.88,10,7,27.2,19.04
