&  ,ss ,di,hi,m,df,hf,m,   Demanda                                                                                         
DP ,4,6,15,0, F,  , ,241
DP ,4,6,16,1, F,  , ,241
DP ,4,6,17,0, F,  , ,269
DP ,4,6,18,1, F,  , ,269
DP ,4,6,19,0, F,  , ,281
DP ,4,6,20,1, F,  , ,281
DP ,4,6,21,0, F,  , ,283
DP ,4,6,22,1, F,  , ,283
DP ,4,6,23,0, F,  , ,281
DP ,4,6,24,1, F,  , ,281
DP ,4,6,25,0, F,  , ,264
DP ,4,6,26,1, F,  , ,264
DP ,4,6,27,0, F,  , ,261
DP ,4,6,28,1, F,  , ,261
DP ,4,6,29,0, F,  , ,255
DP ,4,6,30,1, F,  , ,255
DP ,4,6,31,0, F,  , ,249
DP ,4,6,32,1, F,  , ,249
DP ,4,6,33,0, F,  , ,255
DP ,4,6,34,1, F,  , ,255
DP ,4,6,35,0, F,  , ,261
DP ,4,6,36,1, F,  , ,261
DP ,4,6,37,0, F,  , ,272
DP ,4,6,38,1, F,  , ,272
DP ,4,6,39,0, F,  , ,278
DP ,4,6,40,1, F,  , ,278
DP ,4,6,41,0, F,  , ,272
DP ,4,6,42,1, F,  , ,272
DP ,4,6,43,0, F,  , ,255
DP ,4,6,44,1, F,  , ,255
DP ,4,6,45,0, F,  , ,227
DP ,4,6,46,1, F,  , ,227
DP ,4,6,47,0, F,  , ,198
DP ,4,6,48,1, F,  , ,198
