"media","q50.50%","q75.75%","q90.90%","desvio_Media","desvio_q50","desvio_q75","desvio_q90"
0.00667605792010623,0.0014750006503675,0.0106429352939956,0.0206259072828277,0.00878378998150858,0.0102313509397455,0.00965231344036225,0.0165881665320992
0.00716380572949044,0,0.0100636306562339,0.02093457497131,0.0126393884499316,0.0145593477109912,0.0129734594861872,0.0187807119055858
0.00690891971121646,0,0.00834701270081083,0.0233149126105166,0.0130822380200617,0.0148228049724848,0.0131624217269175,0.0210955824828875
0.00392631473426094,0,0.00620555374353957,0.0133317051659748,0.00743371905779704,0.00842297938025147,0.00778114699916242,0.0120529457830179
0.00515185432602382,0,0.00862145008781903,0.0160095848332354,0.00774685311690916,0.00932850354394369,0.00850076600136564,0.0134153753606015
0.00589119519295298,0,0.00955820485125458,0.0244432602615054,0.0100846977567036,0.0117053914932596,0.0107416944777897,0.0212583742863282
0.00105068261972097,0,0,0.00354992500011724,0.00348074815574572,0.00363853115332226,0.00363853115332226,0.00429783699955141
0.00431044242324261,0,0,0.0140829380249228,0.0106705473081316,0.0115224327787425,0.0115224327787425,0.0145271372967859
0.0564545584708325,0.0563452515317938,0.0774553259289187,0.104295869778585,0.0352050453802973,0.0352052180486057,0.0410872834544757,0.0597355883634793
0.0108308573592459,0,0.0215029880114197,0.0357403852302096,0.0173535655336455,0.0205063827545539,0.0204215267861224,0.0305371332945474
0.00231055611485245,0,0,0,0.00828582395796317,0.00860739269998239,0.00860739269998239,0.00860739269998239
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.000702342248856875,0,0,0,0.00480118874362709,0.00485317958691578,0.00485317958691578,0.00485317958691578
0.00713918591236329,0,0.000619381803491233,0.0244336350956374,0.0173664597598447,0.0188004275241338,0.0185700705945314,0.0246158329128827
0.0223817018907069,0.00401536871536909,0.035750162031455,0.0691212612782615,0.0316276755876624,0.0366544675397065,0.0343825675777218,0.0567734299846342
0.0200362990547383,0.00143845583169694,0.0351001013123923,0.0655924011964932,0.0288578631038647,0.034419821348393,0.0326140371826617,0.0542636572901755
0.0256068885492494,0.00193570627384006,0.0477709478555988,0.0809459598912667,0.0345294070161702,0.0419813658673313,0.0411356757130163,0.0656385504603377
0.105808781387357,0.0983868714628204,0.139094516890261,0.205452263302621,0.0710782200651579,0.0714714244550076,0.0786097392360365,0.123106160453434
0.121597702212707,0.116996483741272,0.154121057358885,0.190526952227928,0.0477134955149387,0.0479389291197324,0.057913164239064,0.0843552317035552
0.0717992432694196,0.0711942616928768,0.0882442303561105,0.107094501756575,0.0264682787058882,0.0264753197938845,0.031241246480301,0.0443778615009302
0.0347123803975771,0.0296237678608979,0.0539486557882635,0.0719966490999335,0.0262714386748669,0.0267682040470332,0.0326605972177277,0.0458769353255958
0.0274337905632382,0.019716649671983,0.0457856467247312,0.0568669633043648,0.0237151934138696,0.0249601577285421,0.0300850399813264,0.0379989540171797
0.0141141138700905,0.00442558781052138,0.0298519936068435,0.0388513134852196,0.0166027192251823,0.0192656331786826,0.0229712085554927,0.0299719023044276
