"media","q50.50%","q75.75%","q90.90%","desvio_Media","desvio_q50","desvio_q75","desvio_q90"
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
2937.82727272727,2813.5,3454,3931.9,838.307460215842,847.64551219944,986.97905269715,1307.37891426432
30.9148248438574,31.7513344747709,36.888685753238,40.047491106365,6.89091321863257,6.94243413021308,9.15601276670304,11.5080331103427
1.23971929999983,1.20162463627546,1.35298516536721,1.47772183341203,0.254865476565344,0.257748886876877,0.279326232871225,0.350215080129544
0.168221204139531,0.162483830984393,0.185328818003106,0.21684980082778,0.087624320552847,0.0878154233918515,0.0893090803202026,0.100431834880177
0.0790358066015803,0.0702161662905435,0.101492724523612,0.128051763295284,0.0542966909543714,0.0550207358315567,0.0588327409738359,0.073435991890854
0.0250182579378042,0.0243682870402148,0.0392749228243987,0.0581450566502364,0.023740804915112,0.0237498566690853,0.0277568756334115,0.0409910109138543
0.0102041675943179,0,0.0169220003553178,0.028061821349285,0.0159643800594986,0.018995084153531,0.017343080735288,0.0240697297748181
0.00306243627839363,0,0,0.0117585161346387,0.00792077836373875,0.00850186927765883,0.00850186927765883,0.0118189353617256
0.00372498765602506,0,0,0.000902169813524913,0.0141095124221439,0.014601277486314,0.014601277486314,0.0143939722144183
0.000213624078793749,0,0,0,0.00158561444334201,0.00160019031003952,0.00160019031003952,0.00160019031003952
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.033743842364532,0,0,0,0.117451402321788,0.122284320606679,0.122284320606679,0.122284320606679
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
