"media","q50.50%","q75.75%","q90.90%","desvio_Media","desvio_q50","desvio_q75","desvio_q90"
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
66.9543250228033,62.6875,87.25,117.5625,34.2991170258488,34.5683723784372,39.9496169743738,61.5227291259086
173.035714164168,133.299212598425,185.928508433469,303.466644153651,127.218424042688,133.3894955382,127.882093292477,183.062274004744
5.00545132724124,4.99665806754221,5.28117809556455,5.70566826099084,0.638335579746274,0.638397263202328,0.696351519101013,0.952289748886118
0.550197426351324,0.546335223996394,0.582390261044117,0.610247924819758,0.0577845634833161,0.05791587534909,0.0662919797480368,0.0837370710974192
0.123496586656975,0.114834061274588,0.142884433013548,0.177476522136764,0.0327613529311554,0.0339077455664448,0.0381596086454375,0.0635696433739932
0.0351871948788995,0.0324094879327298,0.0431667124903043,0.070452636077635,0.0287314839609346,0.028867788083954,0.0298376932225572,0.0457271031025574
0.00954908364494826,0.00212033697375424,0.0143694639891336,0.0308518251194188,0.0132058637087156,0.0151838497653932,0.0140726171428098,0.0252222749435655
0.00580686594945388,0,0.009167360174836,0.0198553269192947,0.0101547911684986,0.011723098966456,0.0107056446112971,0.0174339175855007
0.000274740483352349,0,0,0,0.00171721174174534,0.00173943173210111,0.00173943173210111,0.00173943173210111
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
