eol84_ver
64.464876
86.16986
95.577076
97.598872
80.251584
47.153372
43.183336
31.120152
39.310712
24.327156
45.421824
48.88492
48.441596
38.63678
30.847796
20.045004
12.580064
10.828636
10.214344
8.97582
0.850864
1.566544
0.510916
3.433276
