"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
0,0,0,0,0,0,0,0,0,0.0805200849160396,0.354777938974623,0.169497123353099,0.159609643147472,0.0709024471111741,0.123736305007533,0.1347104752831,0.13962156418563,0.0400837469096903,0.00119627035467608,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.122570633477414,0.171739074409596,0.168660281193075,0.116679772485585,0.0869445378173839,0.117752963857271,0.124216533716732,0.0948484174031998,0.0398228446276774,0.000319274537224425,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.0208000229643544,0.0834484588569364,0.0722255124283971,0.0540205710392531,0.0515304353196862,0.055524267128946,0.0378778925401018,7.51487158917661e-05,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0798861298643048,0.207917116892593,0.167581620356542,0.0950213628409821,0.0904912324589915,0.100475457561598,0.101152558140702,0.116064829450647,0.0366017766854275,0.000312942806814261,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0707327693754927,0.0473002327073437,0.0586771208194227,0.0872677672913677,0.0975100485946295,0.0796036832523288,0.105948712729971,0.105108863698353,0.0294741019524705,0.000173614032989692,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.0175148891090534,0.0806681358383541,0.124589077243039,0.108953315536232,0.0765792587286335,0.0748010870734146,0.0655727069049453,0.00017302176327926,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.0414859039348373,0.0668739685277282,0.127830411802538,0.119734023910762,0.145824015315582,0.222680980646939,0.668621833185071,0.922415253673104,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.646290382366749,0.0974403162513509,0.187106987822764,0.18972116988008,0.187198587930614,0.16304453553146,0.153008309385895,0.113652725022022,0.0356855630019285,0.0714232045704734,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.0446498955581418,0.0951174908947796,0.0728954346312443,0.0899868260024013,0.0745617903736637,0.0593340732536475,0.0417193222652189,0.0193056781095599,0.00386513371121859,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.076175425206351,0.0735585595520734,0.0478142865002496,0.052321318610831,0.0581173539298977,0.0476956281260516,0.0359779431256299,0.0269538560831278,4.61358343287725e-05,0,0,0,0,0
