"media","q50.50%","q75.75%","q90.90%","desvio_Media","desvio_q50","desvio_q75","desvio_q90"
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.000413910069602216,0,0,0,0.00247979723479994,0.00251470107817857,0.00251470107817857,0.00251470107817857
0.013452258456123,0,0.0195231315888527,0.054613686091296,0.0213072404557685,0.0252613647177411,0.0221698124521465,0.0466688925868035
0.0194579116049142,0.00176126141512541,0.0385390973736513,0.0566662917864255,0.0274048814176483,0.0327061643888886,0.0334889048592129,0.0464734323625696
0.0434878570183479,0.0439313354555753,0.0595429132832964,0.0789411110359657,0.0292741622169121,0.0292775801088829,0.0334553971012459,0.0462164608548458
0.0809795351265984,0.0731640998244093,0.104520891824284,0.140469619552992,0.0379875391738205,0.0387977485379143,0.0448052618206834,0.0710468972831437
0.155327116453669,0.137574794127022,0.192432700383413,0.223349172251468,0.0506586245291692,0.0537333900357297,0.0629969629850459,0.0853169473241959
0.422950013951765,0.418318329188018,0.454714671714838,0.480371610075323,0.0437908778226668,0.044039649780833,0.0542707981126251,0.0726356708258878
0.903217128425429,0.90645935007324,0.91813506585989,0.926779241062742,0.0180843079743294,0.0183779450106118,0.0235310062103171,0.0298746770884456
0.999720063071177,0.999732714121047,0.99980498904915,0.999823742288064,8.88955871985855e-05,8.98077856186233e-05,0.000123484454581961,0.00013729846332154
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
