"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
0,0,0,0,0,0,0.0225061208330691,0.000262708784123881,0.0683751887323157,0.111126828637862,0.0353365169537006,0.152824973834499,0.188550998237561,0.226096684905319,0.14204168989314,0.130084236735113,0.758360502430767,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0476022487266855,0.000208314025296796,0.0546019529051186,0.0683590203610076,0.0683552938028336,0.128907811038534,0.112336678096077,0.217135699416321,0.163948241765166,0.169042468133726,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0722161273512242,0.000445469710722838,0.0450520123244335,0.0473609394198099,0.0347789761487518,0.0582305227840852,0.0341935813123827,0.0208091988854092,0.0953936518368553,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0671534158487968,0.000202958563442704,0.0648805065362065,0.0777022346781482,0.0447016433296565,0.0470303725839026,0.155089095099959,0.162197740329293,0.192638617756767,0.0965840554636371,0.177256067362176,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0869739369574732,0.0013521520093093,0.0754564852751194,0.0642300334466384,0.042280238525086,0.030731597649387,0.0204806929140804,0.0317675657232577,0.177565412515381,0.0936643505977297,0.0643834302070572,0,0,1,0,0,0,0
0,0,0,0,0,0,0.00100551345794698,0.996803108907699,0.281802303208463,0.198846683452668,0.274140972651879,0.217301045425911,0.179637879602254,0.084736691257275,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.00551586764863998,0.033967319319459,0.000252363348790912,0.132097736077534,0.185119233749799,0.177362205456555,0.103561684456121,0.050095633862432,0.00826345979453702,0.0956253235908453,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.46524191186567,0.0132774236122109,0.00025307703094195,0.089361184416931,0.0849522438690022,0.170195485321215,0.118955606126846,0.107631500858172,0.165591882112835,0.130583330606828,0.458413255073575,0,0,0,0,0,0,0,0
0,0,0,0,0,0.507030173992678,0.0010606007358519,9.3975323946553e-05,0.143631332419765,0.148546309402952,0.114364493048679,0.118310466939872,0.0985380941419519,0.0644163630898808,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.0222120464930123,0.654237293157282,0.000125872295725919,0.0447412981041123,0.0137564729821127,0.0384841747616433,0.0241459191608413,0.05344584587513,0.0189847144858713,0.00220373203501696,0.0522116339962195,0,0,0,0,0,0,0,0
