"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
0.00399969551428252,0.00296499092203294,0.00224179148190062,0.00258183205592016,0.004765508078444,0.00424160799175851,0.00662460919629544,0.00289133823265871,0.00121874899878183,0.00381975550118336,0.000644021624463834,0.000399502443662619,0.000975848297754201,0.00028128349582064,0.00756305405540043,0.00897205262053852,0.0164846780143912,0.0200474767821799,0.0105230437762931,0.0186659612123091,0.00998852423015263,0.0118609445736137,0.012615092314175,0.0115078368272917
0.00340658736955481,0.00421360280107657,0.00412278264952047,0.00467692634099805,0.00404143304554595,0.00286444748362203,0.00423999426284831,0.00386736187653025,0.00338746842260446,0.00282255078844685,0.00150163919554057,0.000369552005686686,0.000876788821929859,0.000350659045980275,0.00473972660311693,0.0102602027826037,0.0115805116984704,0.0150694064914352,0.0114126835906919,0.0109381204110793,0.00784734371626019,0.0108232704858443,0.0148124697985253,0.0081464591440464
0.00223870497011912,0.00271937641659304,0.00151334383748995,0.00233480107534124,0.00320550719991916,0.00216764698318643,0.00332267197721169,0.00212087952141959,0.00213368524654259,0.00105361140446507,0,0.000187622542878029,0.00252586329528166,0.00337773635106342,0.0126977825517071,0.0233483269218492,0.0342446947221438,0.0319229474349231,0.00590041886203988,0.0058018220697176,0.00398226886729578,0.00570038677187144,0.00942266287174988,0.00404860023477334
0.0059826324198709,0.00840209298135046,0.00643093230080566,0.00765240683785954,0.00374762487210378,0.00472405026104338,0.00689328265502573,0.00151018694514007,0.00349754061248549,0.00398434931098649,0.00833700737305808,0.00164877411029718,0.00118394583053617,0.00130851459746426,0.0043344536786647,0.0114803836489805,0.0190370487813232,0.0222920748382113,0.0196268163129292,0.0283307584945252,0.019172205996572,0.0270970771375234,0.0275251523505342,0.0112842595632792
0.00412114089686387,0.00517668025794522,0.00513522253328931,0.00566625864821774,0.0110072038364261,0.00599961976519535,0.00771444996129997,0.00424099610968249,0.00290480524380428,0.00399270887194877,0.000838475014913052,0.000496857223518725,0.00129625388341985,0.00174334200876301,0.00387221077699935,0.00924367704855177,0.012049914066283,0.0128461111222756,0.00731489282048351,0.0115495181802952,0.0115082489064353,0.0189629225384363,0.0168535025600426,0.0106873878439326
0.00348281893121645,0.00375162885715108,0.0036709686034804,0.00479151738092908,0.00581369699426608,0.00686414094372821,0.0116746698658538,0.00427222226512899,0.00271764330693828,0.00379169461962751,0.00327220167702334,0.000170303295599767,0.000796555791735543,0.00193626870769175,0.00586311611282426,0.00792482603433938,0.0061757520452351,0.0271105385471506,0.00698376841609213,0.00949290632538968,0.00953426798976973,0.0127133709748552,0.0134460133080044,0.00778470225509185
0.00153743406206803,0.00243588902832404,0.00409209743545451,0.00428052002673708,0.00787022837146726,0.00738942992988521,0.00542108742222279,0.00630128147882601,0.00729640677929696,0.00245847267028747,0.0108112264907141,0.000869693718316857,0.00454685674504399,0.00186050883823032,0.00521232625991691,0.01143626121544,0.0105392896144048,0.00420369023744911,0.0056036313913123,0.0122826334732365,0.0113699231656862,0.00950819678771053,0.00708522149239443,0.00475593849699957
0.00957150439396554,0.0144510417252111,0.00490892129898346,0.00803665655024498,0.0125352626670567,0.0137547459197112,0.00974946945199936,0.0133282869729835,0.00720963203901614,0.00827598336782648,0.012924116750716,0.00174672693282172,0.00544166514669557,0.00140021019572441,0.00296267845915469,0.00377148421409579,0.0048487063327467,0.014801212121089,0.0112730612141764,0.0138674586223568,0.00899479338572078,0.010495892900186,0.0143625561673786,0.0209840329081897
0.00185702564166955,0.00298344660895202,0.00132766475817982,0.00230281368819417,0.0046995399775127,0.0039289661805969,0.00301259777735671,0.00396545350560703,0.00254268888984544,0.00190923140851331,0.00441756829630362,0.000486148873105006,0.00379125409130116,0.0012467020204223,0.00301045253624746,0.00775853431111432,0.00672443330815719,0.00779342187743518,0.00724177671143053,0.0125268102885747,0.00574660680503875,0.00423756032923622,0.00346986343207945,0.00499172498204088
0.00219357536950138,0.0083202560832134,0.0025300150971792,0.00769299637238222,0.011436633427629,0.0106745940757519,0.019087191526208,0.00618600314404649,0.00419414746128938,0.0133530979339222,0.0235915662202229,0.00263799701003336,0.0215586269555314,0.00547682254391251,0.00859483151759127,0.0103428854663211,0.01111731671555,0.0104387782467063,0.00443111804156594,0.0214868814012171,0.0193034002584559,0.0102239696023327,0.00459107294439439,0.00898285981337918
0.00384681569831424,0.00564040181683305,0.00330878188571652,0.00426370474580962,0.00891749350322561,0.00688167016591288,0.00524381380908039,0.00722835038321599,0.00254489535936373,0.00495562595596245,0.00348801347263513,0.000890714709511886,0.00199160591359418,0.000878762430349079,0.00732414846155247,0.00884389922126439,0.0168949535574782,0.0214034653530743,0.0097667695172434,0.0114964007983918,0.00582928100992274,0.00661647727883037,0.0138498300012851,0.0130170882698048
0.00249978512844404,0.00351742879147736,0.00364206438701881,0.0035629112033664,0.00318399521311635,0.0048848547102206,0.0037880604510428,0.00217550060555533,0.00184930889732154,0.00235501073833921,0.0017368678511898,0.000227301570754229,0.000626791704534126,0.000269655115668443,0.00274359472520638,0.00486425691902733,0.00674071007160151,0.0114509071320905,0.00386719283469268,0.00297001357622283,0.00482986224749026,0.00621851841752834,0.00574888057015005,0.00826862700415474
0.00195585221387253,0.00393529800703417,0.00279294270013338,0.00318102496435175,0.00141291123328695,0.000962222050029117,0.00315479774844633,0.00213084144784215,0.00207275476578403,0.000819861572737372,0.00311491395254911,9.19156537349296e-05,0.00341342329648278,0.000912236656229749,0.00461665496759278,0.00961587642230161,0.0202882810820867,0.0192285508144262,0.0110341328019977,0.0195260235006136,0.0137393640748344,0.00999427902532076,0.00293620255198374,0.0032677939642119
0.00426700299083134,0.00703940527520536,0.00343975235199551,0.00460077391391744,0.00352107576385779,0.00391553913377105,0.00519384643282511,0.00208491916874656,0.00103376672496963,0.00228879575513187,0.00103341783512994,0.000464359306376567,0.00207838632617952,0.00144271615337828,0.00970610405301445,0.0166276353926794,0.0205159982470802,0.0309504488745267,0.0170077319748483,0.0221408702788625,0.0176205705641746,0.0190042017296481,0.0184485019842865,0.0093758850022525
0.00573573952154453,0.00407491909771557,0.00349160255477996,0.0058546756209439,0.00405212322782647,0.0035210045289761,0.0070515367736909,0.0019534725089476,0.00145709017185875,0.0045439863629337,0.00282136576170555,0.000446835644858156,0.00230645014697498,0.000197654840419258,0.00943431169081744,0.0140340798352377,0.0155621653974906,0.0221628108749069,0.015588988428451,0.0256819213504715,0.0159757736596757,0.0203126771297178,0.0183395321313766,0.00913513993520381
0.00484725237537713,0.00249303211200928,0.00101629237761376,0.00231753117615307,0.00331308655579713,0.00422234540471285,0.00802580689615417,0.00435460378733292,0.00387006785573591,0.00468695968301144,0.00628346973111043,0.000590831553053065,0.00220075371977225,0.00128786657384094,0.00775856968058518,0.0212801375384359,0.0185575348853124,0.0235489515236056,0.01432566507951,0.0213559532550283,0.0112868185381819,0.0154248301710457,0.0156758186280088,0.0112246430324586
0.00440087155518813,0.00302589577221034,0.00304861631330146,0.00491839686259593,0.00417001198897692,0.00253302174847965,0.00485657808503038,0.00133851574368242,0.00165442158197965,0.00050330112035402,0.00128078969751395,1.86578280600373e-05,0.00194510505070487,0.000652390742952819,0.00672399127163799,0.0113999799208507,0.0242883853797088,0.0221844370710243,0.00904992443133423,0.0107142015654474,0.00767598303657311,0.00649546187527921,0.0132955166350025,0.0104096509900099
0.00514174810617848,0.00351644540727248,0.00400737866246335,0.00842130369943169,0.0040462599230433,0.00379504228677628,0.00435914214699883,0.00648083097883848,0.00339366452064572,0.00134124105403342,0.00280763479437268,0.00056680073691758,0.00016328033619106,0.000451384613780162,0.00279729462687305,0.0142512097689304,0.00922223528020087,0.00860036734019828,0.00726628696865255,0.0128242550363379,0.0099092755959723,0.0106284529511896,0.0133685957792002,0.0124267573380752
