eol17_ver
54.872776
50.027026
35.35658
39.14869
33.93019
31.130092
28.81606
10.563238
2.905462
1.080478
0.413504
0.280308
1.87866
5.244344
7.796936
11.206356
17.42979
36.596098
65.195466
84.784224
96.566106
98.280756
103.357114
105.484274
