"UPstat.media","UPstat.q50.50.","UPstat.q75.75.","UPstat.q90.90.","UPstat.desvio_Media","UPstat.desvio_q50","UPstat.desvio_q75","UPstat.desvio_q90","DNstat.media","DNstat.q50.50.","DNstat.q75.75.","DNstat.q90.90.","DNstat.desvio_Media","DNstat.desvio_q50","DNstat.desvio_q75","DNstat.desvio_q90"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,289.263636363636,272,401,522.5,162.732621378155,163.662635727686,197.985163585558,286.161667593687
0,0,0,0,0,0,0,0,36.7316550725062,31.0854700854701,42.0588235294118,78.1428571428571,20.3686594672899,21.1506986350899,21.0662418144362,46.492226492582
0,0,0,0,0,0,0,0,2.0251307130028,1.9865625,2.17437722419929,2.88635578583765,0.439441317241816,0.441161789800955,0.464538140022008,0.973936672636372
0,0,0,0,0,0,0,0,0.751875138814598,0.57247403210576,1.06335477193761,1.44917131968448,0.436112024165001,0.472201724615449,0.537596426722243,0.827900822513659
0,0,0,0,0,0,0,0,0.352729715858611,0.315766006777243,0.460694816296248,0.748044213395246,0.19874483127593,0.202215543151835,0.226653549047247,0.445720780968887
-0.00186448760454139,0,0,0,0.008826759499181,0.00902490915462672,0.00902490915462672,0.00902490915462672,0.109998060181663,0.0970712195645754,0.15484924831806,0.236221044223368,0.0820291962778696,0.0830591589505147,0.0936787588380473,0.151461360599571
-0.0184615938862426,0,0,0,0.0409880851615403,0.0450203626772207,0.0450203626772207,0.0450203626772207,0.0321651416354757,0.0187683158076194,0.0414987174789299,0.129942465418044,0.0455409065442878,0.0475036608519286,0.0465039584490163,0.108637496377972
-0.0382310506603597,-0.0279523249685815,-0.0146027023676707,0,0.0405487914851617,0.0418534376145468,0.0470350725575321,0.0559594501666264,0.010580602166941,0,0,0.0676763041150374,0.036378146182171,0.0379115112057715,0.0379115112057715,0.0681210706402598
-0.090965213473928,-0.0870444954040045,-0.0658974413061363,0,0.0645469608484605,0.0646680127241945,0.0693233568024502,0.112188011246063,0.00871087173326252,0,0,0.0666606038559477,0.0232361059890643,0.0248420434634199,0.0248420434634199,0.0629047165423764
-0.174332196331408,-0.155580937024097,-0.140922906880354,-0.10961709466196,0.0692638529715934,0.0718025232515927,0.0770346153466505,0.095200221060881,0,0,0,0,0,0,0,0
-0.276380154221366,-0.28634274458306,-0.257325250298521,-0.144133865753946,0.075019601460584,0.075690368161123,0.0774451666917678,0.15310419094077,0,0,0,0,0,0,0,0
-0.656743666099693,-0.650445954064421,-0.610834553440703,-0.58011254715231,0.0585272768263034,0.0588713663491894,0.0746466291998284,0.096987201969583,0,0,0,0,0,0,0,0
-0.963609890626948,-0.964007421150278,-0.952540106951872,-0.945214267385168,0.0135121789015636,0.013518133586997,0.0175324941348486,0.0229618069939209,0,0,0,0,0,0,0,0
-0.996785607660522,-0.997445721583653,-0.996316758747698,-0.992673992673993,0.00202181857258017,0.00212874850173431,0.00207644898115039,0.00461586294095533,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
