 ICUT ,TP.ENTID,ID.ENT,   NomeEntid   ,TP.COEF,ILAG ,IPAT ,     Val.Coef      ,      Unid      
32, USIH   ,257, PEIXE ANGIC   , VARM  ,0,1,-261.204, (1000$/hm3)    
32, USIH   ,122, SANTA BRANCA  , VARM  ,0,1,-756.652, (1000$/hm3)    
32, USIH   ,124, LAJES         , VARM  ,0,1,-495.855, (1000$/hm3)    
32, USIH   ,130, ILHA POMBOS   , VARM  ,0,1,-47, (1000$/hm3)    
32, USIH   ,131, NILO PECANHA  , VARM  ,0,1,-725.361, (1000$/hm3)    
32, USIH   ,133, P. PASSOS     , VARM  ,0,1,-215.742, (1000$/hm3)    
32, USIH   ,125, STA CECILIA   , VARM  ,0,1,-601.491, (1000$/hm3)    
32, USIH   ,180, TOCOS         , VARM  ,0,1,-495.855, (1000$/hm3)    
32, USIH   ,181, SANTANA       , VARM  ,0,1,-640.2, (1000$/hm3)    
32, USIH   ,182, VIGARIO       , VARM  ,0,1,-725.361, (1000$/hm3)    
32, USIH   ,183, FONTES A      , VARM  ,0,1,-716.26, (1000$/hm3)    
32, USIH   ,184, FONTES BC     , VARM  ,0,1,-716.26, (1000$/hm3)    
32, USIH   ,107, EDGARD SOUZA  , VARM  ,0,1,-538.213, (1000$/hm3)    
32, USIH   ,108, TRAICAO       , VARM  ,0,1,-540.45, (1000$/hm3)    
32, USIH   ,109, PEDREIRA      , VARM  ,0,1,-314342.769, (1000$/hm3)    
32, USIH   ,117, GUARAPIRANGA  , VARM  ,0,1,-984.934, (1000$/hm3)    
32, USIH   ,118, BILLINGS      , VARM  ,0,1,-986.159, (1000$/hm3)    
32, USIH   ,119, HENRY BORDEN  , VARM  ,0,1,-722135.596, (1000$/hm3)    
32, USIH   ,32, CACH.DOURADA  , VARM  ,0,1,-504.94, (1000$/hm3)    
32, USIH   ,135, P. ESTRELA    , VARM  ,0,1,-220.966, (1000$/hm3)    
32, USIH   ,139, CANDONGA      , VARM  ,0,1,-126.35, (1000$/hm3)    
32, USIH   ,262, SALTO         , VARM  ,0,1,-495.671, (1000$/hm3)    
32, USIH   ,89, GARIBALDI     , VARM  ,0,1,-836.808, (1000$/hm3)    
32, USIH   ,144, MASCARENHAS   , VARM  ,0,1,-40.042, (1000$/hm3)    
32, USIH   ,66, ITAIPU        , VARM  ,0,1,-191.643, (1000$/hm3)    
32, USIH   ,110, ERNESTINA     , VARM  ,0,1,-421.203, (1000$/hm3)    
32, USIH   ,111, PASSO REAL    , VARM  ,0,1,-421.757, (1000$/hm3)    
32, USIH   ,112, JACUI         , VARM  ,0,1,-350.63, (1000$/hm3)    
32, USIH   ,113, ITAUBA        , VARM  ,0,1,-225.204, (1000$/hm3)    
32, USIH   ,114, D. FRANCISCA  , VARM  ,0,1,-65.008, (1000$/hm3)    
32, USIH   ,74, G.B. MUNHOZ   , VARM  ,0,1,-793.439, (1000$/hm3)    
32, USIH   ,76, SEGREDO       , VARM  ,0,1,-603.436, (1000$/hm3)    
32, USIH   ,82, SALTO CAXIAS  , VARM  ,0,1,-115.475, (1000$/hm3)    
32, USIH   ,115, G.P. SOUZA    , VARM  ,0,1,-1247.707, (1000$/hm3)    
32, USIH   ,73, JORDAO        , VARM  ,0,1,-601.015, (1000$/hm3)    
32, USIH   ,71, STA CLARA PR  , VARM  ,0,1,-906.951, (1000$/hm3)    
32, USIH   ,72, FUNDAO        , VARM  ,0,1,-762.622, (1000$/hm3)    
32, USIH   ,57, MAUA          , VARM  ,0,1,-529.943, (1000$/hm3)    
32, USIH   ,77, SLT.SANTIAGO  , VARM  ,0,1,-404.566, (1000$/hm3)    
32, USIH   ,78, SALTO OSORIO  , VARM  ,0,1,-238.567, (1000$/hm3)    
32, USIH   ,93, PASSO FUNDO   , VARM  ,0,1,-570.168, (1000$/hm3)    
32, USIH   ,91, MACHADINHO    , VARM  ,0,1,-443.103, (1000$/hm3)    
32, USIH   ,92, ITA           , VARM  ,0,1,-272.127, (1000$/hm3)    
32, USIH   ,252, CANA BRAVA    , VARM  ,0,1,-381.82, (1000$/hm3)    
32, USIH   ,253, SAO SALVADOR  , VARM  ,0,1,-302.155, (1000$/hm3)    
32, USIH   ,267, ESTREITO TOC  , VARM  ,0,1,-145.462, (1000$/hm3)    
32, USIH   ,281, PONTE PEDRA   , VARM  ,0,1,0, (1000$/hm3)    
32, USIH   ,86, BARRA GRANDE  , VARM  ,0,1,-689.933, (1000$/hm3)    
32, USIH   ,90, CAMPOS NOVOS  , VARM  ,0,1,-759.136, (1000$/hm3)    
32, USIH   ,97, CASTRO ALVES  , VARM  ,0,1,-274.789, (1000$/hm3)    
32, USIH   ,98, MONTE CLARO   , VARM  ,0,1,-127.837, (1000$/hm3)    
32, USIH   ,99, 14 DE JULHO   , VARM  ,0,1,-62.008, (1000$/hm3)    
32, USIH   ,103, FOZ CHAPECO   , VARM  ,0,1,-90.189, (1000$/hm3)    
32, USIH   ,169, SOBRADINHO    , VARM  ,0,1,-246.271, (1000$/hm3)    
32, USIH   ,172, ITAPARICA     , VARM  ,0,1,-213.842, (1000$/hm3)    
32, USIH   ,173, MOXOTO        , VARM  ,0,1,-128.666, (1000$/hm3)    
32, USIH   ,174, P.AFONSO 123  , VARM  ,0,1,-92.206, (1000$/hm3)    
32, USIH   ,175, P.AFONSO 4    , VARM  ,0,1,-128.666, (1000$/hm3)    
